Day,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland#,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,132.0,,,,,,152.0,,105.0,147.0,,106.0,,101.0,109.0,,104.0,128.0,,,,,,,101.0,108.0,234.0,107.0,,,101.0,103.0
2,,161.0,,,,,,219.0,,122.0,169.0,,109.0,,110.0,118.0,,104.0,124.0,,,,,,,132.0,167.0,234.0,158.0,,,103.0,116.0
3,,190.0,,,,,,219.0,,144.0,169.0,,116.0,,124.0,137.0,,165.0,130.0,,,,,,,132.0,200.0,309.0,159.0,,,113.0,126.0
4,,226.0,,,,,,445.0,,165.0,177.0,,116.0,,128.0,176.0,,165.0,180.0,,,,,,,151.0,200.0,411.0,269.0,,,172.0,134.0
5,,266.0,,,,,,503.0,,165.0,185.0,,158.0,,144.0,182.0,,229.0,186.0,,,,,,,167.0,274.0,485.0,321.0,,,174.0,152.0
6,,305.0,,,,,,523.0,,179.0,185.0,,184.0,,151.0,202.0,,229.0,198.0,,,,,,,176.0,288.0,571.0,364.0,,,227.0,190.0
7,,348.0,,,,,,576.0,,241.0,199.0,,207.0,,175.0,234.0,,259.0,216.0,,,,,,,186.0,328.0,621.0,427.0,,,305.0,213.0
8,,363.0,,,,,,576.0,,308.0,199.0,,224.0,,175.0,241.0,,259.0,302.0,,,,,,,186.0,383.0,690.0,442.0,,,305.0,231.0
9,,381.0,,,,,,669.0,,432.0,205.0,,245.0,,181.0,265.0,,443.0,335.0,,,,,,,186.0,463.0,738.0,473.0,,,343.0,255.0
10,,381.0,,,,,,898.0,,539.0,205.0,,270.0,,197.0,286.0,,564.0,335.0,,,,,,,202.0,553.0,834.0,504.0,,,410.0,287.0
11,,432.0,,,,,,903.0,,617.0,225.0,,278.0,,214.0,295.0,,604.0,490.0,,,,,,,219.0,700.0,911.0,504.0,,,431.0,310.0
12,,473.0,,,,,,1069.0,,695.0,233.0,,300.0,,226.0,306.0,,730.0,490.0,,,,,,,219.0,812.0,969.0,562.0,,,433.0,339.0
13,,503.0,,,,,,1154.0,,871.0,233.0,,314.0,,247.0,314.0,,987.0,748.0,,,,,,,,879.0,1075.0,624.0,,,452.0,
14,,534.0,,,,,,1510.0,,1021.0,,,328.0,,258.0,327.0,,1120.0,868.0,,,,,,,,1005.0,1173.0,647.0,,,483.0,
15,,572.0,,,,,,1561.0,,1272.0,,,341.0,,277.0,336.0,,1308.0,1018.0,,,,,,,,1023.0,1204.0,698.0,,,657.0,
16,,603.0,,,,,,1578.0,,1604.0,,,350.0,,315.0,345.0,,1355.0,1135.0,,,,,,,,1131.0,1242.0,743.0,,,735.0,
17,,603.0,,,,,,1640.0,,1743.0,,,,,353.0,357.0,,1407.0,1364.0,,,,,,,,1229.0,1267.0,791.0,,,773.0,
18,,646.0,,,,,,1707.0,,,,,,,371.0,364.0,,1407.0,1574.0,,,,,,,,1351.0,1323.0,844.0,,,846.0,
19,,,,,,,,1893.0,,,,,,,384.0,374.0,,,1761.0,,,,,,,,1478.0,1372.0,844.0,,,969.0,
20,,,,,,,,2003.0,,,,,,,390.0,376.0,,,1985.0,,,,,,,,,1477.0,,,,1084.0,
21,,,,,,,,,,,,,,,,379.0,,,2337.0,,,,,,,,,,,,,1084.0,
22,,,,,,,,,,,,,,,,387.0,,,2687.0,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,388.0,,,2919.0,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,395.0,,,3205.0,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,396.0,,,3323.0,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,400.0,,,3651.0,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,402.0,,,4203.0,,,,,,,,,,,,,,
